id,year,endvi,evi,exgi,gcc,grvi,msavi,msr,ndvi,remsr,psri,rendvi,sipi,sr,vari,mr
164,2020,0.6640956186153533,0.29862614787713615,0.052450076674184734,0.39117904080115445,0.06177115932975169,0.26198450815395097,2.742560682695334,0.7301495543379996,5.98194497517536,-0.002197835226302886,0.4453000670535299,0.8144244330015219,2.6055529867767353,0.04551561349818719,0.10594767002811313
165,2020,0.6770834624541632,0.39856326744825754,0.07567287320071489,0.40051348092846456,0.071150850738908325,0.359482845976748,2.813145722325756,0.7293253954727141,5.931039064565714,-0.004115451421543577,0.45264272862721955,0.8229621167793971,2.65392058277397,0.053207958301678765,0.14924734097119655
166,2020,0.6784534492738171,0.3048484533800321,0.049743008884144985,0.3899010180859874,0.057543946779007184,0.26866949099818943,2.8653075172794136,0.7425563859249016,6.048664046383444,-0.0011514629568427051,0.4538735959135085,0.8249317984414523,2.6621558398104015,0.04243122662118415,0.1077330130913882
167,2020,0.686087126954871,0.45730845125394554,0.08745598617828218,0.4028532395247732,0.07463482230019063,0.4169956954230503,2.84130329307569,0.7364349057585173,6.041312075103603,-0.0025230995368775927,0.4612098255398915,0.8278904687845778,2.712020179291666,0.05595739002879367,0.17814157426734586
168,2020,0.6626688996228903,0.3377804053924432,0.06334494829095978,0.39835558076412314,0.0783131192574139,0.29856394265839464,2.771342546393193,0.7293912385900424,6.248021789647009,-0.006354358369895434,0.4539050448189647,0.8154977576705159,2.662366738650758,0.057861612821182705,0.1224111444746947
169,2020,0.6708923440730558,0.3208484453766568,0.05524609658068276,0.39178338300323234,0.06336724517577505,0.28324719531872256,2.8334388651431897,0.737086175069735,6.019856060531875,-0.0035333445759974007,0.45000810643747546,0.8208378822282221,2.636417233434432,0.04669362122858433,0.11554280472347347
16,2020,0.6467217764632268,0.44427189135475587,0.08911946543936061,0.3971442024483901,0.09724445895781793,0.39278106177188754,2.916221352289116,0.7389774449555008,6.88972389427694,-0.01386633753775767,0.46184906357675976,0.8149515434993232,2.7164294710565313,0.07039465595845401,0.16393675018582587
170,2020,0.6320387446531558,0.17540587006693859,0.03309423706287554,0.3946899611117371,0.08369141079198446,0.14770423723318854,2.607969399535936,0.7157546408831142,6.464313544598492,-0.010747073023173594,0.44224658491159424,0.7951758622700006,2.5858139921617393,0.06096229856935779,0.05842683341526335
171,2020,0.6371064593006884,0.23919742750433612,0.049179547123116826,0.39463398194537735,0.05828781038771472,0.2068818615564853,2.4377785160937546,0.6878659914349494,5.131339329619703,-9.742438728544073e-4,0.40689322922410553,0.7891552622389743,2.3720741332688315,0.043470879067866876,0.08888837630449091
172,2020,0.7038866637933948,0.5001137922849798,0.08378677110954613,0.40183255154641057,0.0885640969676877,0.4574719083415816,3.1705531618998615,0.7716351275141764,6.79963316802529,-0.005304028466295069,0.49060669344679125,0.8466544661800943,2.926239262021182,0.06538510163813725,0.19096727964194976
