tray_id,wavelength_bin,reflectance_raw,reflectance_smoothed
5__2,704.53,0.17222245096850014,0.17219783219087162
5__2,715.42,0.21446755757869151,0.2145092169452211
5__2,726.33,0.2558165096624849,0.25578902795351144
5__2,737.25,0.2886009797947076,0.2885749737316119
5__2,748.19,0.3058930294537642,0.30604153412064655
5__2,759.14,0.307797858598907,0.3078449446997641
5__2,770.11,0.313103740744628,0.31276959139560745
5__2,781.09,0.3201248492393054,0.3202682541324008
5__2,792.08,0.32347939953390836,0.32347129847853123
5__2,803.1,0.32496866642564326,0.32502978669971994
5__2,814.12,0.3269056417366615,0.32688199708527166
5__2,825.16,0.32936583065374847,0.3292779871651094
5__2,836.22,0.33354744249757406,0.3336365849112698
5__2,847.29,0.33924481557531844,0.3391113402846896
5__2,858.37,0.3435711504225839,0.3436222019333029
5__2,869.47,0.34628626155605013,0.34632931415278395
5__2,880.58,0.3481695785891305,0.3482109020780138
5__2,891.71,0.34993439458390957,0.34971793238463805
5__2,902.86,0.347307386075577,0.34739756908848085
5__2,914.02,0.34639326601322806,0.34651805361101407
5__2,925.19,0.3434053068490842,0.34323917684734245
5__2,936.38,0.33316340221264584,0.33337856197406157
5__2,947.58,0.33910608486687666,0.3389899579404014
5__2,958.8,0.3434956736084075,0.3435512971623881
1__2,967.22,0.00836223932136938,0.00895003808734595
1__2,999.63,0.01067077251007133,0.01160489260224053
1__2,1034.32,0.0108935194524428,0.01186141733506539
1__2,1069.07,0.01067318962372182,0.01167560976156251
1__2,1096.91,0.00926806922959869,0.01004644084301043
1__2,1131.75,0.00481428023187895,0.00595423285169446
1__2,1166.66,0.00725842952123944,0.00817330945395159
1__2,1194.62,0.00885720039667995,0.0098919237852167791
1__2,1229.63,0.01034951907671726,0.01130767948290753
1__2,1264.69,0.01043860408785946,0.01151170762777348
1__2,1292.78,0.01081649571695358,0.01172137519620388
1__2,1327.94,0.00864290727893534,0.0095006695963734
1__2,1363.16,0.00486133702149856,0.00598543609106949
1__2,1391.37,0.00520091314802737,0.00615460729144331
1__2,1426.69,0.00605357529303152,0.00705802642189137
1__2,1462.07,0.00695114838136589,0.007867573637142
1__2,1490.41,0.0084780576987114609,0.00946007890607713
1__2,1525.89,0.0106376212092836,0.0116345941085191
1__2,1561.42,0.01153024265608604,0.01245980927049164
1__2,1589.89,0.01174665125437066,0.01274120768845942
1__2,1625.52,0.01193819840144778,0.01281550181913181
1__2,1661.21,0.0090152318539768,0.01005064525049142
1__2,416,0.0512057217684659,0.05325833715573706
1__2,426.49,0.05784745649857954,0.05600038338533211
1__2,437,0.06952829071969698,0.07115132605702675
1__2,447.52,0.08080707896839488,0.08136241742198774
1__2,458.06,0.07458542332504735,0.07340320845875045
1__2,468.62,0.060333251953125,0.062275499836535
1__2,479.18,0.06015569513494318,0.05898468766205583
