tray_id,wavelength_bin,reflectance_raw,reflectance_smoothed
12__2,883.37,0.31368989450918083,0.31376424094531885
12__2,888.93,0.3141759522863701,0.3141326375226998
12__2,894.5,0.31305557578566384,0.31277444269992605
12__2,900.07,0.3099116900600283,0.3103837362540356
12__2,905.64,0.30988169248764125,0.3094777849765436
12__2,911.22,0.3084054334392655,0.3086256465752792
12__2,916.81,0.30798541225282483,0.3079998258108858
12__2,922.39,0.3081572155278955,0.30820074546635395
12__2,927.98,0.3062482565324859,0.30588372732126046
12__2,933.58,0.29920292085981637,0.29948100445377657
12__2,939.18,0.2956625838629944,0.29577250822866225
12__2,944.78,0.29521080508474573,0.2949612740554379
12__2,950.38,0.2927638649805791,0.2929497972785513
12__2,955.99,0.2911234275688559,0.2909436601993376
12__2,961.6,0.2900935458598164,0.29028151220322174
7__1,964.41,0.35120284215043696,0.35129523125622364
7__1,978.85,0.35783891823623887,0.3580880881397969
7__1,992.7,0.36588066103277783,0.36518816924953346
7__1,1013.5,0.3696502054086179,0.3696847968064243
7__1,1027.38,0.3723538659428921,0.3713039723086565
7__1,1041.27,0.37555256753479394,0.3759054358364131
7__1,1062.12,0.3866071500280735,0.38581637667071744
7__1,1076.03,0.39597663717525095,0.3954899784516861
7__1,1089.94,0.4050842638133558,0.4047076558830416
7__1,1110.84,0.41049532574631953,0.4098154231210539
7__1,1124.78,0.41077037772464614,0.4117460304867435
7__1,1138.73,0.4086282406278719,0.40696127341001787
7__1,1159.67,0.39018538528513,0.3897104170824855
7__1,1173.64,0.3734958140275695,0.375013084975958
7__1,1187.63,0.3632766256245117,0.3613342828280751
7__1,1208.62,0.3472406555724284,0.34755298633646337
7__1,1222.62,0.3489173503808961,0.35131235307229813
7__1,1236.63,0.3821242818745117,0.3804951028705579
7__1,1257.67,0.41189952811527114,0.411287493754029
7__1,1271.71,0.4273156303708155,0.4270718942965728
7__1,1285.75,0.43891493522632624,0.4385128495290713
7__1,1306.83,0.44400224831436386,0.4438856837313694
7__1,1320.9,0.4446468583194042,0.4441865450319471
7__1,1334.98,0.4382350167115413,0.4375622455085958
7__1,1356.11,0.4206214519433961,0.4213364101801348
7__1,1370.21,0.40065252080680336,0.398896212359747
7__1,1384.31,0.35519963994742837,0.35565494207753984
7__1,1405.49,0.3195362074877509,0.3187108091871258
7__1,1419.62,0.30889147935015016,0.3087844497523947
7__1,1433.76,0.30956831329252243,0.3091047861630159
7__1,1454.99,0.3184625794005534,0.3177218939079116
7__1,1469.15,0.3291482601591219,0.3293477879651312
7__1,1483.32,0.3473956717434633,0.34683051992815866
7__1,1504.59,0.3632893576893638,0.3628056028448289
7__1,1518.79,0.371997893160634,0.37122829246514655
7__1,1532.99,0.3773712839326434,0.37775537695991773
7__1,1554.31,0.3905502180094243,0.3897855284237024
7__1,1568.53,0.4038808867972268,0.4030408071592688
7__1,1582.77,0.4147799280858693,0.4144177909680507
7__1,1604.13,0.42164822078160175,0.4213821511757403
7__1,1618.39,0.42516443644440416,0.4245450183719681
7__1,1632.66,0.42753260050690417,0.42781542000721834
7__1,1654.07,0.43079069652504937,0.42941773931701777
7__1,1668.36,0.42130202675018374,0.421631403775634
7__1,413.37,0.15746864576018255,0.15799171715810037
