tray_id,wavelength,reflectance_raw,reflectance_smoothed
12__2,639.48,0.08344706700211864,0.08344311188458435
12__2,642.18,0.08195645745056497,0.08174990068855932
12__2,644.88,0.07986920683262712,0.07989938384870192
12__2,647.58,0.07774622616525424,0.07807292927764327
12__2,650.29,0.07662701933262712,0.07652122795180927
12__2,652.99,0.07522183968926553,0.0752130487876648
12__2,655.69,0.07415509136652543,0.0741094690568671
12__2,658.4,0.07270586158192091,0.07280911395278451
12__2,661.1,0.07169468352754237,0.07145709903399919
12__2,663.81,0.06991282662429378,0.06995611064870864
12__2,666.52,0.06859912385240113,0.06865843747898172
12__2,669.23,0.06739740024717514,0.06753429292356068
12__2,671.94,0.06703695489053672,0.06683396493307776
12__2,674.65,0.06650561661370057,0.06653785657536321
12__2,677.36,0.0666220427259887,0.06669295529829165
12__2,680.07,0.06750068414548023,0.06730255414312619
12__2,682.79,0.06884715969279662,0.06868521373503499
12__2,685.5,0.07134879281426554,0.07135459543987088
12__2,688.22,0.07572784251412429,0.07607005765318134
12__2,690.93,0.08333795683262712,0.08359054471011572
12__2,693.65,0.09385844809322036,0.09403361298173932
12__2,696.37,0.10692981991525424,0.10685926570486956
12__2,699.09,0.12131176068149715,0.12119854931732583
12__2,701.81,0.1361655742408192,0.13616825092060128
12__2,704.53,0.15127016022245762,0.15107272277290154
12__2,707.25,0.16564753266242938,0.16566975215227334
12__2,709.97,0.17956621866172318,0.17966043421694247
12__2,712.7,0.19300844147245763,0.19272221223853248
12__2,715.42,0.20519236626059323,0.20506570266259752
12__2,718.15,0.21654334392655367,0.21701608162244415
12__2,720.87,0.2282382260769774,0.2284428738524012
12__2,723.6,0.23969789459745763,0.2391343568191754
12__2,726.33,0.2490179091631356,0.24892395370930864
12__2,729.06,0.25721430305437853,0.25760130292406513
12__2,731.79,0.265244394420904,0.2652730465597256
12__2,734.52,0.2722783478990113,0.2720593104738364
12__2,737.25,0.2779494284074859,0.2778297397304615
12__2,739.98,0.28221945621468925,0.28240878848449696
12__2,742.72,0.28606565589689265,0.2860181041078154
12__2,745.45,0.288854917019774,0.28876806102031205
12__2,748.19,0.29097657353460454,0.2910294203574792
12__2,750.93,0.2923734772245763,0.29295456422770383
12__2,753.66,0.2939942289018362,0.2937785212999395
12__2,756.4,0.2941646473340396,0.2925995815257601
12__2,759.14,0.2906603438382768,0.29062703930000683
12__2,761.88,0.28752016022245763,0.28951815139897774
12__2,764.62,0.2901082605049435,0.29056787595423056
12__2,767.36,0.29456197033898307,0.2937611354923326
12__2,770.11,0.29778148172669494,0.2971756194091338
12__2,772.85,0.2991606969456215,0.29902516257650663
12__2,775.6,0.2995051421257062,0.2997258489289078
12__2,778.34,0.2999591278248588,0.30023100839470673
12__2,781.09,0.3008314905543785,0.30085289400894544
12__2,783.84,0.30186354608050847,0.301675539014158
12__2,786.58,0.30219614009533896,0.3023169585056834
12__2,789.33,0.30281407794844634,0.3026544891923931
12__2,792.08,0.3026668101165254,0.30268734393916463
12__2,794.84,0.30267962129237286,0.30266592944999327
12__2,797.59,0.30254924743997175,0.3026508472474442
12__2,800.34,0.3028523569915254,0.3028456616138687
12__2,803.1,0.30333810028248587,0.3034134366802866
12__2,805.85,0.3038776924435028,0.30409335958518297
12__2,808.61,0.3049350061793785,0.30453233612035924
12__2,811.36,0.3045791732874294,0.30438382085267024
12__2,814.12,0.30400901527189267,0.30402625920601295
12__2,816.88,0.30322190589689263,0.303767761509618
12__2,819.64,0.304140349134887,0.3040086337898507
